x,y,z,I
808536.5,6484622.19,498.02000000000004,1386.0
808537.7000000001,6484619.23,498.03000000000003,1465.0
808535.88,6484624.44,498.05,1805.0
808535.86,6484625.18,498.05,1510.0
808537.42,6484620.43,498.05,1174.0
808537.52,6484619.04,498.06,1865.0
808535.49,6484625.47,498.06,2079.0
808537.84,6484617.8,498.07,1498.0
808537.18,6484619.49,498.07,1339.0
808535.55,6484624.5200000005,498.08,1999.0
808536.16,6484624.84,498.09000000000003,1294.0
808535.81,6484622.09,498.1,2043.0
808536.88,6484618.91,498.11,2079.0
808537.25,6484618.390000001,498.11,2270.0
808535.68,6484622.390000001,498.12,1711.0
808536.59,6484619.94,498.13,1797.0
808537.29,6484617.65,498.14,1851.0
808537.5800000001,6484617.0600000005,498.15000000000003,2250.0
808535.68,6484621.600000001,498.16,1945.0
808537.76,6484615.04,498.16,1985.0
808537.25,6484617.13,498.17,2569.0
808534.93,6484625.41,498.18,2781.0
808536.26,6484619.2700000005,498.18,2091.0
808536.7000000001,6484616.79,498.19,2461.0
808536.27,6484620.03,498.2,2268.0
808534.8,6484623.28,498.21000000000004,2239.0
808534.79,6484624.07,498.21000000000004,2022.0
808534.64,6484623.53,498.22,2410.0
808537.27,6484625.600000001,498.23,1029.0
808537.65,6484624.140000001,498.24,998.0
808536.53,6484625.23,498.24,1197.0
808535.47,6484621.140000001,498.24,2544.0
808537.98,6484610.78,498.25,2297.0
808534.54,6484622.390000001,498.26,2916.0
808536.36,6484617.42,498.26,2047.0
808537.2000000001,6484623.0600000005,498.27000000000004,1260.0
808537.77,6484611.93,498.28000000000003,1925.0
808533.67,6484623.98,498.28000000000003,2361.0
808534.5700000001,6484625.2700000005,498.29,2508.0
808532.81,6484625.91,498.3,2780.0
808534.54,6484624.79,498.3,2454.0
808537.68,6484610.67,498.31,2671.0
808536.43,6484616.95,498.31,2475.0
808536.71,6484614.19,498.32,2343.0
808536.56,6484614.98,498.32,2659.0
808537.51,6484611.100000001,498.32,2220.0
808536.27,6484616.46,498.33,2545.0
808537.9,6484608.62,498.33,2918.0
808537.54,6484610.26,498.34000000000003,2294.0
808536.0,6484613.57,498.34000000000003,2408.0
808533.9500000001,6484624.93,498.34000000000003,2452.0
808535.88,6484618.62,498.34000000000003,2516.0
808536.37,6484613.05,498.35,2910.0
808537.41,6484612.07,498.36,2455.0
808537.15,6484611.63,498.36,2572.0
808534.11,6484621.46,498.37,2718.0
808537.05,6484610.54,498.37,2886.0
808536.81,6484612.13,498.38,2203.0
808535.1,6484616.24,498.38,2696.0
